frame	predictor	basis	candidate	loss	baseline	absolute_difference
NCP	mu	20	0.0	-0.2210406576134217	-0.2210406576134217	0.0
NCP	mu	20	0.1	-0.250078814033464	-0.250078814033464	0.0
NCP	mu	20	0.2	-0.275660060261781	-0.275660060261781	0.0
NCP	mu	20	0.3	-0.29601394579429036	-0.29601394579429036	0.0
NCP	mu	20	0.4	-0.30956195153025134	-0.30956195153025134	0.0
NCP	mu	20	0.5	-0.31506783910866293	-0.31506783910866293	0.0
NCP	mu	20	0.6	-0.31176635080325277	-0.31176635080325277	0.0
NCP	mu	20	0.7	-0.2994692768430579	-0.2994692768430579	0.0
NCP	mu	20	0.8	-0.2786522756253368	-0.2786522756253368	0.0
NCP	mu	20	0.9	-0.25051680546667354	-0.25051680546667354	0.0
NCP	mu	20	1.0	-0.2169934671094677	-0.2169934671094677	0.0
NCP	sigma	1	0.0	-0.09321646227904662	-0.09321646227904662	0.0
NCP	sigma	1	0.1	-0.10967179778070592	-0.10967179778070592	0.0
NCP	sigma	1	0.2	-0.1292780473808298	-0.1292780473808298	0.0
NCP	sigma	1	0.3	-0.15306546219144138	-0.15306546219144138	0.0
NCP	sigma	1	0.4	-0.1825337913490573	-0.1825337913490573	0.0
NCP	sigma	1	0.5	-0.21983136262400674	-0.21983136262400674	0.0
NCP	sigma	1	0.6	-0.2677711031597765	-0.2677711031597765	0.0
NCP	sigma	1	0.7	-0.32876508248082875	-0.32876508248082875	0.0
NCP	sigma	1	0.8	-0.3994750340579881	-0.3994750340579881	0.0
NCP	sigma	1	0.9	-0.45710068909719337	-0.45710068909719337	0.0
NCP	sigma	1	1.0	-0.46043066968781143	-0.46043066968781143	0.0
NCP	sigma	2	0.0	-0.17194748644697774	-0.17194748644697774	0.0
NCP	sigma	2	0.1	-0.18893665293979253	-0.18893665293979253	0.0
NCP	sigma	2	0.2	-0.20617622342666417	-0.20617622342666417	0.0
NCP	sigma	2	0.3	-0.2234101540090228	-0.2234101540090228	0.0
NCP	sigma	2	0.4	-0.24031702201589536	-0.24031702201589536	0.0
NCP	sigma	2	0.5	-0.25650278333520315	-0.25650278333520315	0.0
NCP	sigma	2	0.6	-0.2714996071676077	-0.2714996071676077	0.0
NCP	sigma	2	0.7	-0.28477554408625366	-0.28477554408625366	0.0
NCP	sigma	2	0.8	-0.2957600433833605	-0.2957600433833605	0.0
NCP	sigma	2	0.9	-0.30388855245655744	-0.30388855245655744	0.0
NCP	sigma	2	1.0	-0.30866467747507376	-0.30866467747507376	0.0
NCP	sigma	3	0.0	-0.1693358483711674	-0.1693358483711674	0.0
NCP	sigma	3	0.1	-0.1854691133470579	-0.1854691133470579	0.0
NCP	sigma	3	0.2	-0.20258360948255524	-0.20258360948255524	0.0
NCP	sigma	3	0.3	-0.22035915387960692	-0.22035915387960692	0.0
NCP	sigma	3	0.4	-0.23820641291023287	-0.23820641291023287	0.0
NCP	sigma	3	0.5	-0.2551707560197744	-0.2551707560197744	0.0
NCP	sigma	3	0.6	-0.269886486855749	-0.269886486855749	0.0
NCP	sigma	3	0.7	-0.2806769777175192	-0.2806769777175192	0.0
NCP	sigma	3	0.8	-0.285890018491719	-0.285890018491719	0.0
NCP	sigma	3	0.9	-0.28442784911565067	-0.28442784911565067	0.0
