model	sampler	parameter	mean	sd	bulk_ess	mcse	split_rhat	tail_ess
brms S2Z CP	WHMC	log_tau_intercept	7.81438393177993	0.15648974335651833	2069.6974509754828	0.0035725520744136333	1.0002272870986129	893.9277536632397
brms S2Z CP	WHMC	log_tau_load	4.098758126512331	0.2172969656720633	2094.6750577798184	0.004747046525059712	0.9999604665366997	1547.878970124805
brms S2Z CP	WHMC	log_sigma_intercept	6.051961857682202	0.015497592183454216	2322.3338904109783	0.0003219349371355453	1.0000904696412087	1087.5010053294266
brms S2Z CP	WHMC	log_sigma_subj_slope	0.07820953164131879	0.0027806335351320682	2352.808743829645	5.733971947256973e-5	0.9996176691948314	1414.2611014531517
brms S2Z CP	WHMC	total_intercept[701]	614.1038240644014	54.34229350565923	2307.264267143668	1.1342725844686865	0.9996430201226986	946.9339687473007
brms S2Z CP	WHMC	total_intercept[702]	1554.8261502822413	33.49944090502762	2656.93345532077	0.6523675166413612	1.000911393651021	1922.0691608486795
brms S2Z CP	WHMC	total_intercept[703]	1835.728322595449	39.63456856543775	2775.485206881984	0.7563116564952331	0.9996203343425982	1377.6291319391987
brms S2Z CP	WHMC	total_intercept[704]	4816.411541489615	42.393897069671695	3637.1749828149755	0.7016987581762352	1.0000293243291913	1622.8412749777951
brms S2Z CP	WHMC	total_intercept[705]	4120.778174047216	47.052130426772315	2688.426480554762	0.904763211453855	0.9995014736823684	1182.400046665941
brms S2Z CP	WHMC	total_intercept[706]	5511.757493020181	46.87806814309821	3118.0943454909984	0.8396379628626951	1.000970670770904	1314.2001806837495
brms S2Z CP	WHMC	total_intercept[707]	5384.048558031912	48.5782391716006	3286.9684923644418	0.8447809651410796	1.000216073041723	1317.395411763748
brms S2Z CP	WHMC	total_intercept[708]	5018.835254580753	52.28083980036689	3007.7512524958065	0.9566722399387925	1.0004262713346956	1765.945691782448
brms S2Z CP	WHMC	total_intercept[709]	4325.592274685394	56.999240530979066	3976.737679896361	0.9030992698174837	0.9998403198006126	1501.5895330929395
brms S2Z CP	WHMC	total_intercept[710]	5654.477582560844	64.6450732270633	4511.608822291811	0.9589561109932507	1.0008832532130016	1617.6252643314847
brms S2Z CP	WHMC	total_intercept[711]	3735.5158824378045	64.92423961473193	3440.2477171744617	1.1025537361722033	1.0005985381772706	1298.2156950200042
brms S2Z CP	WHMC	total_intercept[712]	6561.757390864599	74.29200515579359	3742.3515541724933	1.2133879808608472	0.9995149347303136	1631.2758099797677
