model	sampler	qoi	bulk_ess	mcse
brms S2Z CP	Native Stan	total_intercept[707]	3870.015747114801	0.7952087452440681
brms S2Z CP	Native Stan	total_intercept[708]	2802.813402076513	0.9948349508458688
brms S2Z CP	Native Stan	total_intercept[709]	3095.5332874062838	1.052635773258439
brms S2Z CP	Native Stan	total_intercept[710]	3135.396387386314	1.1222943524278868
brms S2Z CP	Native Stan	total_intercept[711]	3123.9291690325563	1.1655936989240392
brms S2Z CP	Native Stan	total_intercept[712]	2999.428874212123	1.3604360534586704
brms S2Z CP	Native Stan	total_intercept[713]	2898.483627836468	1.4537661791252943
brms S2Z CP	Native Stan	total_intercept[714]	3138.487306743755	1.4780275345457765
brms S2Z CP	Native Stan	total_intercept[715]	3140.0005738891623	1.5910715824141293
brms S2Z CP	Native Stan	total_intercept[716]	2929.399282701379	2.2793118555977614
brms S2Z CP	Native Stan	total_intercept[717]	2083.4618120368946	2.345372323689768
brms S2Z CP	Native Stan	total_intercept[718]	2783.2208920962357	2.1999004561302393
brms S2Z CP	Native Stan	total_intercept[719]	3208.161261171235	2.0198405811380646
brms S2Z CP	Native Stan	total_intercept[720]	3083.276140106348	2.1406837738180853
brms S2Z CP	Native Stan	total_load[701]	2692.1778571570717	0.355045386810451
