coordinate	candidate	native_loss	expected_loss	error
13	0.4	-0.12570688279620798	-0.12570688279619285	1.5126788710517758e-14
13	0.5	-0.1490518202955504	-0.1490518202955266	2.378652830259398e-14
13	0.6	-0.18278968288098488	-0.1827896828809605	2.4369395390522186e-14
13	0.7	-0.23484223215669867	-0.2348422321566753	2.3370194668359545e-14
13	0.8	-0.32158422803121733	-0.3215842280312	1.7319479184152442e-14
13	0.9	-0.469016665474503	-0.4690166654745015	1.4988010832439613e-15
13	1.0	-0.6060481543712324	-0.6060481543712504	1.7985612998927536e-14
14	0.0	-0.5931982904242389	-0.5931982904242391	2.220446049250313e-16
14	0.1	-0.5986179386691041	-0.5986179386690041	9.992007221626409e-14
14	0.2	-0.6034892650516523	-0.6034892650516244	2.7977620220553945e-14
14	0.3	-0.6078033654712082	-0.6078033654712567	4.851674617611934e-14
14	0.4	-0.611552756159108	-0.6115527561591282	2.020605904817785e-14
14	0.5	-0.6147313738630273	-0.6147313738630013	2.609024107869118e-14
14	0.6	-0.6173345715165125	-0.6173345715165145	1.9984014443252818e-15
14	0.7	-0.619359109629126	-0.6193591096291313	5.329070518200751e-15
14	0.8	-0.620803143640612	-0.6208031436406151	3.1086244689504383e-15
14	0.9	-0.6216662074897855	-0.6216662074897826	2.886579864025407e-15
14	1.0	-0.6219491936519754	-0.621949193651975	4.440892098500626e-16
15	0.0	-0.37131397460148347	-0.37131397460148324	2.220446049250313e-16
15	0.1	-0.3972116756637455	-0.39721167566361504	1.304512053934559e-13
15	0.2	-0.42491853910261207	-0.4249185391025192	9.287015600989434e-14
15	0.3	-0.4542146650797112	-0.45421466507971664	5.440092820663267e-15
15	0.4	-0.4846094149927221	-0.4846094149928281	1.0602629885170245e-13
15	0.5	-0.5152184196823673	-0.5152184196823594	7.882583474838611e-15
15	0.6	-0.5446429793420836	-0.5446429793420889	5.329070518200751e-15
15	0.7	-0.5709156836739505	-0.5709156836739526	2.1094237467877974e-15
15	0.8	-0.5916158399562871	-0.5916158399562831	3.9968028886505635e-15
15	0.9	-0.6042523001789953	-0.6042523001789969	1.5543122344752192e-15
15	1.0	-0.6068940889315679	-0.6068940889315668	1.1102230246251565e-15
16	0.0	-0.5051903824495557	-0.5051903824495556	1.1102230246251565e-16
16	0.1	-0.5283620879568387	-0.5283620879568315	7.216449660063518e-15
16	0.2	-0.5511686287036618	-0.5511686287036341	2.7644553313166398e-14
16	0.3	-0.5731659853025782	-0.5731659853025814	3.219646771412954e-15
16	0.4	-0.5938210785869182	-0.5938210785869038	1.4432899320127035e-14
16	0.5	-0.612524008556398	-0.6125240085563963	1.6653345369377348e-15
16	0.6	-0.6286159730274977	-0.6286159730274997	1.9984014443252818e-15
16	0.7	-0.6414346749819962	-0.641434674981995	1.2212453270876722e-15
16	0.8	-0.6503749309545265	-0.6503749309545267	2.220446049250313e-16
16	0.9	-0.6549566953324897	-0.654956695332489	6.661338147750939e-16
16	1.0	-0.6548877203088161	-0.6548877203088158	3.3306690738754696e-16
17	0.0	-0.2736059137574089	-0.2736059137574085	3.885780586188048e-16
17	0.1	-0.29700459755188025	-0.2970045975519227	4.246603069191224e-14
17	0.2	-0.3238657306561026	-0.3238657306561096	6.994405055138486e-15
17	0.3	-0.35468493749110847	-0.35468493749106395	4.451994328746878e-14
17	0.4	-0.38982455694048	-0.38982455694050216	2.2148949341271873e-14
17	0.5	-0.4292326937776917	-0.4292326937776869	4.773959005888173e-15
17	0.6	-0.4719113531538613	-0.4719113531538404	2.0872192862952943e-14
17	0.7	-0.5150917774870298	-0.5150917774870204	9.43689570931383e-15
17	0.8	-0.5534230231184097	-0.553423023118413	3.219646771412954e-15
17	0.9	-0.5792581685687522	-0.5792581685687526	3.3306690738754696e-16
17	1.0	-0.5854435995608075	-0.5854435995608067	7.771561172376096e-16
18	0.0	-0.26072259201727854	-0.2607225920172788	2.7755575615628914e-16
18	0.1	-0.2894464352177248	-0.28944643521771424	1.0547118733938987e-14
18	0.2	-0.32143755404797086	-0.3214375540478802	9.064970996064403e-14
18	0.3	-0.35688539473627695	-0.3568853947362419	3.502753642692369e-14
18	0.4	-0.39571458706298235	-0.39571458706297485	7.494005416219807e-15
18	0.5	-0.43733620533351264	-0.43733620533352896	1.63202784619898e-14
18	0.6	-0.4802971649491058	-0.48029716494909874	7.049916206369744e-15
18	0.7	-0.5219151299645706	-0.5219151299645761	5.551115123125783e-15
18	0.8	-0.5581732031478143	-0.5581732031478106	3.6637359812630166e-15
18	0.9	-0.5843156250142003	-0.5843156250142005	2.220446049250313e-16
18	1.0	-0.596352565620047	-0.5963525656200486	1.5543122344752192e-15
19	0.0	-0.14436702025453185	-0.1443670202545317	1.3877787807814457e-16
19	0.1	-0.15643675223569992	-0.1564367522356927	7.216449660063518e-15
19	0.2	-0.1710230693070688	-0.17102306930709943	3.064215547965432e-14
19	0.3	-0.18909911234077453	-0.18909911234076093	1.3600232051658168e-14
19	0.4	-0.21219260032215478	-0.21219260032215845	3.6637359812630166e-15
19	0.5	-0.24281534157380616	-0.24281534157380552	6.38378239159465e-16
19	0.6	-0.28530280570619304	-0.28530280570619937	6.328271240363392e-15
19	0.7	-0.3473977998530867	-0.3473977998530878	1.0547118733938987e-15
19	0.8	-0.44204407170309395	-0.4420440717030975	3.552713678800501e-15
19	0.9	-0.5764647384065976	-0.5764647384065996	1.9984014443252818e-15
19	1.0	-0.6596181971334101	-0.6596181971334101	0.0
20	0.0	-0.17281188288704868	-0.17281188288704896	2.7755575615628914e-16
20	0.1	-0.18797103175747432	-0.1879710317574903	1.5987211554602254e-14
20	0.2	-0.20656741826737812	-0.20656741826734107	3.70536934468646e-14
20	0.3	-0.22980844132360573	-0.2298084413236028	2.914335439641036e-15
20	0.4	-0.2594705515480549	-0.2594705515480573	2.4424906541753444e-15
20	0.5	-0.2981932394666779	-0.2981932394666763	1.609823385706477e-15
20	0.6	-0.34980692031647176	-0.3498069203164699	1.8318679906315083e-15
20	0.7	-0.41912815062448555	-0.41912815062448966	4.107825191113079e-15
20	0.8	-0.5083704298488557	-0.5083704298488527	2.9976021664879227e-15
20	0.9	-0.6012879823471784	-0.6012879823471765	1.887379141862766e-15
20	1.0	-0.6395161262545528	-0.6395161262545563	3.552713678800501e-15
21	0.0	-0.48696102353223725	-0.48696102353223697	2.7755575615628914e-16
21	0.1	-0.5049270607404489	-0.5049270607404484	5.551115123125783e-16
21	0.2	-0.5216973480500275	-0.5216973480500271	4.440892098500626e-16
21	0.3	-0.5370357589471904	-0.5370357589471897	6.661338147750939e-16
21	0.4	-0.5507138491212319	-0.5507138491212317	2.220446049250313e-16
21	0.5	-0.5625194511500179	-0.5625194511500179	0.0
21	0.6	-0.5722654568761905	-0.5722654568761902	2.220446049250313e-16
21	0.7	-0.5797981022713576	-0.5797981022713581	4.440892098500626e-16
21	0.8	-0.5850040294508985	-0.5850040294508986	1.1102230246251565e-16
21	0.9	-0.5878154618666692	-0.5878154618666699	6.661338147750939e-16
21	1.0	-0.5882129934271788	-0.588212993427179	2.220446049250313e-16
22	0.0	-0.5019165080672009	-0.5019165080672005	4.440892098500626e-16
22	0.1	-0.5201580835090942	-0.520158083509094	2.220446049250313e-16
