arm	parameter	mean	baseline_mean	mcse	baseline_mcse	z
total_cp	trial_2_total	-48.80101169798386	-48.748245191127005	0.1546933538815743	0.05598593673291054	0.32074409596308207
total_cp	trial_3_total	-38.30016117622623	-38.620723976498944	0.08246178920690013	0.061742174501994755	3.1118139755908794
total_cp	trial_4_total	-48.557357392327056	-48.29817313543649	0.15820813149615318	0.138420807215136	1.2329514209354477
total_cp	trial_5_total	-64.25219181460359	-63.862803661348785	0.36647660396459486	0.2839706149578454	0.8398846721290089
total_cp	trial_6_total	-51.654879763123326	-51.587565003208375	0.19142489243141012	0.10265477576846316	0.3099020606700098
total_ncp	population_mean	-49.91078553576689	-49.70074734560424	0.2066771041840596	0.19693232219838175	0.7357417792815187
total_ncp	between_trial_sd	16.050008877899167	14.497537437984272	1.8331876923066728	0.22105931983408203	0.840778924962406
total_ncp	trial_1_total	-49.929893247715746	-49.8845254497704	0.23611929497611356	0.08246017568582459	0.18139574389054247
total_ncp	trial_2_total	-49.16213507524942	-48.748245191127005	0.3577973938914066	0.05598593673291054	1.1428652685893699
total_ncp	trial_3_total	-38.62689602760908	-38.620723976498944	0.18399294013774267	0.061742174501994755	0.031802235996072695
total_ncp	trial_4_total	-47.80684219337371	-48.29817313543649	0.4898825902891326	0.138420807215136	0.9651670124764448
total_ncp	trial_5_total	-65.06684739038178	-63.862803661348785	1.7099306937450194	0.2839706149578454	0.6946339262090963
total_ncp	trial_6_total	-51.2868823588592	-51.587565003208375	0.3188521846572122	0.10265477576846316	0.897641247110582
total_online_gradient	population_mean	-49.751704382107604	-49.70074734560424	0.08920018705210891	0.19693232219838175	0.23570261176019092
total_online_gradient	between_trial_sd	14.82698469894603	14.497537437984272	0.1588644551987526	0.22105931983408203	1.2102127970441994
total_online_gradient	trial_1_total	-49.978755411788164	-49.8845254497704	0.081546011109753	0.08246017568582459	0.8125255684975552
total_online_gradient	trial_2_total	-48.84288971443696	-48.748245191127005	0.054085893331261826	0.05598593673291054	1.215820900487752
total_online_gradient	trial_3_total	-38.39353115340624	-38.620723976498944	0.06598300393441311	0.061742174501994755	2.5141653196066676
total_online_gradient	trial_4_total	-48.59148923425442	-48.29817313543649	0.1267126910419668	0.138420807215136	1.5630154147107216
total_online_gradient	trial_5_total	-64.05056021544529	-63.862803661348785	0.20840074855655072	0.2839706149578454	0.5330419587048365
total_online_gradient	trial_6_total	-51.49772382561943	-51.587565003208375	0.09497740131666195	0.10265477576846316	0.6423997080223168
total_online_position	population_mean	-49.86467987909199	-49.70074734560424	0.12333383561503465	0.19693232219838175	0.7054952770625422
total_online_position	between_trial_sd	15.05958385724655	14.497537437984272	0.15651961905296274	0.22105931983408203	2.07503729588845
total_online_position	trial_1_total	-50.02426046448581	-49.8845254497704	0.09544697278256833	0.08246017568582459	1.1078292154436562
total_online_position	trial_2_total	-48.80751217115624	-48.748245191127005	0.12120774610387879	0.05598593673291054	0.44390391965020537
total_online_position	trial_3_total	-38.22000971771138	-38.620723976498944	0.059655295388368015	0.061742174501994755	4.6674104969035595
total_online_position	trial_4_total	-48.61052667606139	-48.29817313543649	0.1443838844410337	0.138420807215136	1.5616305597942215
total_online_position	trial_5_total	-64.51864037593205	-63.862803661348785	0.2878130016277077	0.2839706149578454	1.6220685731628801
total_online_position	trial_6_total	-51.53669124073251	-51.587565003208375	0.15721087320020347	0.10265477576846316	0.2709531509649167
total_posthoc_gradient	population_mean	-50.044353968911196	-49.70074734560424	0.08813546868174538	0.19693232219838175	1.5925781365988827
total_posthoc_gradient	between_trial_sd	14.610274284662848	14.497537437984272	0.14485804140382313	0.22105931983408203	0.42655922226837517
total_posthoc_gradient	trial_1_total	-50.14729480014334	-49.8845254497704	0.0898899686577591	0.08246017568582459	2.154144786876092
total_posthoc_gradient	trial_2_total	-48.83829306886626	-48.748245191127005	0.05814552775152823	0.05598593673291054	1.1155919094965017
total_posthoc_gradient	trial_3_total	-38.510549936023075	-38.620723976498944	0.0746344304730762	0.061742174501994755	1.1374241265217637
total_posthoc_gradient	trial_4_total	-48.82964983118555	-48.29817313543649	0.11615435184050679	0.138420807215136	2.941225433242593
total_posthoc_gradient	trial_5_total	-64.21115337202706	-63.862803661348785	0.20712337081908927	0.2839706149578454	0.9910891203605814
total_posthoc_gradient	trial_6_total	-51.70741202588171	-51.587565003208375	0.08765379649124	0.10265477576846316	0.8878485072469314
total_posthoc_position	population_mean	-49.93428832035002	-49.70074734560424	0.10223436032270707	0.19693232219838175	1.0525182338685182
total_posthoc_position	between_trial_sd	14.763226054752367	14.497537437984272	0.166707659215885	0.22105931983408203	0.9596045920525483
total_posthoc_position	trial_1_total	-49.91947015205692	-49.8845254497704	0.09357992178009028	0.08246017568582459	0.2801689879781088
total_posthoc_position	trial_2_total	-48.83826843037214	-48.748245191127005	0.060780228427240034	0.05598593673291054	1.0893986939761635
total_posthoc_position	trial_3_total	-38.408294184696665	-38.620723976498944	0.06258577460120486	0.061742174501994755	2.4163044538645244
total_posthoc_position	trial_4_total	-48.5194890556143	-48.29817313543649	0.16260380831673316	0.138420807215136	1.0364031358423589
total_posthoc_position	trial_5_total	-64.335315066521	-63.862803661348785	0.2699165332824267	0.2839706149578454	1.2060525938679512
total_posthoc_position	trial_6_total	-51.58887303368661	-51.587565003208375	0.09703274677764825	0.10265477576846316	0.009259976356403623
