school	centeredness	loss	admissible
5	0.33	-0.018921067329965763	true
5	0.34	-0.014360839205730391	true
5	0.35	-0.00967446502150432	true
5	0.36	-0.00486380488350352	true
5	0.37	6.934218947929338e-5	true
5	0.38	0.005123235435154583	true
5	0.39	0.010296189680666201	true
5	0.4	0.015586572827629097	true
5	0.41	0.020992803478532163	true
5	0.42	0.026513348694676975	true
5	0.43	0.03214672187663359	true
5	0.44	0.03789148075894022	true
5	0.45	0.04374622551144419	true
5	0.46	0.04970959694028476	true
5	0.47	0.055780274782077754	true
5	0.48	0.06195697608535461	true
5	0.49	0.06823845367377507	true
5	0.5	0.07462349468603507	true
5	0.51	0.08111091918778585	true
5	0.52	0.08769957885121221	true
5	0.53	0.09438835569824378	true
5	0.54	0.10117616090365938	true
5	0.55	0.10806193365460692	true
5	0.56	0.1150446400633135	true
5	0.57	0.12212327212997037	true
5	0.58	0.12929684675299846	true
5	0.59	0.136564404784076	true
5	0.6	0.1439250101254917	true
5	0.61	0.15137774886754451	true
5	0.62	0.15892172846386116	true
5	0.63	0.16655607694263685	true
5	0.64	0.17427994215193643	true
5	0.65	0.18209249103730174	true
5	0.66	0.1899929089500304	true
5	0.67	0.19798039898458375	true
5	0.68	0.20605418134368003	true
5	0.69	0.2142134927297089	true
5	0.7	0.222457585761197	true
5	0.71	0.23078572841311595	true
5	0.72	0.23919720347989726	true
5	0.73	0.24769130806009543	true
5	0.74	0.2562673530616817	true
5	0.75	0.2649246627270233	true
5	0.76	0.2736625741766495	true
5	0.77	0.2824804369709564	true
5	0.78	0.2913776126890463	true
5	0.79	0.30035347452394534	true
5	0.8	0.30940740689348023	true
5	0.81	0.31853880506613186	true
5	0.82	0.32774707480122367	true
5	0.83	0.33703163200283026	true
5	0.84	0.3463919023868284	true
5	0.85	0.35582732116053706	true
5	0.86	0.3653373327144247	true
5	0.87	0.37492139032538685	true
5	0.88	0.38457895587111846	true
5	0.89	0.39430949955513095	true
5	0.9	0.4041124996419927	true
5	0.91	0.4139874422023708	true
5	0.92	0.42393382086750153	true
5	0.93	0.433951136592704	true
5	0.94	0.44403889742959646	true
5	0.95	0.4541966183066657	true
5	0.96	0.46442382081787825	true
5	0.97	0.474720033019017	true
5	0.98	0.4850847892314559	true
5	0.99	0.49551762985308623	true
5	1.0	0.50601810117613	true
6	0.0	-0.06253354134366157	true
6	0.01	-0.0636628165079653	true
6	0.02	-0.06452482044229994	true
6	0.03	-0.06512759010372493	true
6	0.04	-0.06547874515856256	true
6	0.05	-0.06558551397367425	true
6	0.06	-0.06545475795949379	true
6	0.07	-0.06509299434111177	true
6	0.08	-0.06450641743706949	true
6	0.09	-0.06370091852707724	true
6	0.1	-0.06268210438999007	true
6	0.11	-0.061455314592359894	true
6	0.12	-0.06002563760599385	true
6	0.13	-0.058397925830424934	true
6	0.14	-0.05657680959317839	true
6	0.15	-0.05456671019740028	true
6	0.16	-0.05237185208286996	true
6	0.17	-0.04999627416278078	true
6	0.18	-0.04744384039499677	true
6	0.19	-0.04471824964285098	true
6	0.2	-0.04182304487698338	true
6	0.21	-0.038761621766249005	true
6	0.22	-0.03553723670241188	true
6	0.23	-0.03215301430015571	true
6	0.24	-0.028611954410941526	true
6	0.25	-0.02491693868639039	true
6	0.26	-0.02107073672420476	true
6	0.27	-0.017076011827137055	true
6	0.28	-0.012935326403179459	true
6	0.29	-0.008651147032979062	true
6	0.3	-0.004225849228459366	true
6	0.31	0.0003382780952357056	true
6	0.32	0.005039028414088764	true
6	0.33	0.009874273637058617	true
6	0.34	0.014841960378114027	true
6	0.35	0.019940106442488392	true
6	0.36	0.025166797512443828	true
6	0.37	0.030520184018969443	true
6	0.38	0.03599847818690599	true
6	0.39	0.04159995124194504	true
6	0.4	0.0473229307688402	true
6	0.41	0.05316579821099082	true
6	0.42	0.05912698650229098	true
6	0.43	0.06520497782283763	true
6	0.44	0.07139830147070642	true
6	0.45	0.07770553184259388	true
6	0.46	0.08412528651663692	true
6	0.47	0.09065622443122501	true
6	0.48	0.09729704415404983	true
6	0.49	0.10404648223605822	true
6	0.5	0.11090331164534051	true
6	0.51	0.11786634027634202	true
6	0.52	0.12493440953009488	true
6	0.53	0.13210639296146376	true
6	0.54	0.1393811949896711	true
6	0.55	0.14675774966860966	true
6	0.56	0.154235019513685	true
6	0.57	0.16181199438213806	true
6	0.58	0.1694876904039978	true
6	0.59	0.1772611489609886	true
6	0.6	0.18513143571088936	true
6	0.61	0.19309763965499294	true
6	0.62	0.20115887224646184	true
